title,localisation,desc,note,link,entreprise
Data scientist sur le predictive network H/F),90 - BELFORT,"vous pouvez aussi comme moi evoluer vers un de manager""  Sylvain, manager   Travailler a  Belfort   ""Je suis venu a  Belfort pour mon stage, j'y suis reste pour ma these ... et je me sens bien ici ! L'ete, on est a  la campagne et l'hiver, on peut aller skier jusqu'en Suisse !""  Sylvain, manager      entite      Vous rejoignez une equipe de data scientist qui travaille sur la maintenance predictive des reseaux au sein de l'entite DATAIA:  Imed a termine sa these il y a un an et demi. Il travaille sur des modeles de prediction de congestion dans les reseaux radio et sur les problematiques de generation de couverture radio.  Maroua nous a rejoint il y a quelques mois. Elle travaille sur la prediction de la qualite de service pour les applications vehiculaires.  Carlos intervient sur les sujets plutot lies au reseau coeur, mais il monte en competence sur la partie radio avec Imed et Maroua.  Sylvain, manager de l'equipe, qui etait auparavant data scientist et travaillait sur les donnees du reseau radio, les vehicules autonomes et la 5G. Il dirige egalement maintenant des projets europeens avec des partenaires internationaux.  D'autres membre de votre equipe travaillent egalement sur d'autres sujets :  Yoan et Phi travaillent sur des projets de recherche autour de l'ingenierie des connaissances.  Dominique est specialise dans la production de dashboard et il poursuit sa montee en competence pour devenir data scientist.  Przemyslaw a une forte expertise autour de la mise en oeuvre de plateformes experimentales et de mesures. Il travaille aussi sur les projets de recherche vehiculaire, et sur le montage d'un site 5G experimental a  Belfort.            CDIType de contratContrat à durée indéterminéeContrat travail",NA,https://candidat.pole-emploi.fr/offres/recherche/detail/9466742,NA
Data scientist (BI) Solution de mobilité éco-responsable informatique (H/F),75 - PARIS 11,"CONTEXTE DU POSTE :Notre client propose des solutions de stationnement et de mobilité collaboratives et écoresponsables. Son offre est diverse : réservation de places de parking, mise à disposition et location de voitures en autopartage, transfert et mise en relation avec plus de 5000 partenaires dans les aéroports, gares et centres villes.Fondée en 2012 et basée à Paris, Berlin et Los Angeles, cette startup réunit désormais 1 million d'utilisateurs dans plus de 60 pays ! Cette success story notamment sur une équipe technique d'experts passionnés, tournés vers l'innovation et l'expérience client.Afin d'accélérer leur développement à l'international et le lancement d'innovations comme le recours aux véhicules électriques, notre client a besoin de recruter un profil Data / BI, pour son équipe technique d'une vingtaine de personnes développeurs web, mobile et data.MISSIONS :  Concevoir et développer des tableaux de bord, rapports cléenmain pour les utilisateurs sur les solutions Superset de Data Visualisation S'assurer de la fiabilité des indicateurs et de la qualité des données Améliorer et optimiser les reportings et sources de données existantes Être force de proposition pour l'élaboration de Datamarts et participer à l'architecture du Data Warehouse Contribuer à la construction d'une culture DATADriven au sein des différentes équipes opérationnelles de la sociétéSTACK TECHNIQUE : SQL PostgreSQL Data visualisation Superset, Tableau Méthodologie agile Python, Spark c'est un plus Docker, KubernetesPROFIL : De formation BAC+5 écoles d'ingénieur ou équivalent 3 ans d'expérience sur des outils de data visualisation Tableau, Superset, Power BI, QlikView... Vous êtes en mesure de réaliser des scripts ou requêtes SQL ainsi qu'une bonne compréhension des architectures BI ETL Si vous maîtrisez Python, Spark, Docker, Kubernetes, sachez que c'est plus ! Vous êtes autonome, rigoureux, dynamique et vous êtes une bonne communicante Fluent en anglaisAVANTAGES : RTT Télétravail occasionnel possible Carte Lunchr/Swile Abonnement Gymlib Locaux bien desservis, proches gare de LyonPOURQUOI LES REJOINDRE ? Stack technique rpointue Soutenir et promouvoir une démarche économique, solidaire et écoresponsable Ambiance de travail chaleureuseType de contratContrat à durée indéterminéeContrat travail",NA,https://candidat.pole-emploi.fr/offres/recherche/detail/9459893,NA
Data Scientist - Consumer & Market Knowledge (H/F),93 - MONTREUIL,"Description de l'entrepriseLes équipes d'Ubisoft sont animées par leur volonté d'enrichir la vie des joueurs avec des expériences de divertissement originales et mémorables. Elles donnent vie à des mondes, de véritables terrains de jeux où l'imagination peut s'exprimer librement, donnant naissance à des moments de surprise, de fun et d'aventure qui permettent aussi au joueur d'apprendre et se découvrir.Chez Ubisoft, vous avez l'opportunité de collaborer et d'évoluer avec des équipes passionnées et pionnières dans leur domaine, partout dans le monde.Vous progresserez dans un environnement bienveillant et inspirant dans lequel vous repousserez les limites de l'imaginaire et de la technologie pour créer les mondes qui passionneront nos joueurs.Description du posteLe département CMK Consumer and Market Knowledge est le département des Etudes d'Ubisoft, constitué d'une cinquantaine de personne et rattaché au siège international. Il contribue à approfondir la connaissance de nos marchés, de nos consommateurs et de leurs attentes, pour guider le développement de nos produits et la stratégie de croissance de nos marques.Au sein du CMK, une équipe experte est dédiée à la Data Science. Au sein de cette équipe, vos missions seront les suivantes : Accompagner les analystes pour les aider sur leurs études à court et moyen terme : de la prise du besoin à la conduite de l'étude Analyser les usages et comportements des joueurs à partir des données de tracking WHAT Déceler des associations, formaliser des relations mathématiques / statistiques, modéliser Enrichir notre connaissance des usages et des comportements par croisement avec les motivations, attentes et satisfaction des joueurs WHY and WHAT FOR. Programmer des outils pour l'analyse statistique et la visualisation de données Participer au positionnement de l'équipe en tant qu'experte de l'analyse de données au sein du Groupe à travers la communauté Data Science d'UbisoftQualificationsDiplômée d'un Master en Data Science ou en Data Analysis, vous avez réalisé un stage/une alternance ou acquis une première expérience en tant que Data Scientist.Si vous souhaitez rejoindre une équipe se définissant comme « serious about fun » et si vous répondez « oui » aux affirmations suivantes, n'hésitez plus ! Le langage de programmation Python n'a plus de secret pour vous et vous êtes un As du requêtage de bases de données SQL, Vous seriez capable de faire comprendre la trigonométrie à un enfant de 3 ans, grâce à vos dons en vulgarisation et donc de faire de même avec les sujets de Data Science à des audiences techniques et opérationnelles ; Depuis que vous maîtrisez les statistiques et probabilités, vous ne perdez plus jamais au Monopoly, ni à aucun jeu de société d'ailleurs; You speak English and write in English very well because : vous travaillez sur un scope monde et produisez vos livrables essentiellement en AnglaisSi en plus : Vous maîtrisez le Mandarin Vous avez déjà eu l'occasion de travailler sur des produits Dataiku Vous avez des connaissances dans le secteur du jeu vidéo Ou les 3 en même temps !Et que vous avez souri au moins une fois en lisant cette fiche de poste, vraiment, vous auriez le profil du/de la candidate idéale.Informations complémentairesVous souhaitez être de la partie, alors n'attendez plus! Transmettez nous votre candidature afin de nous rejoindre sur ce poste en CDI à pourvoir dès que possible au sein de notre siège international, basé à Montreuil accessible en métro Ligne 1 et 9/Tram T3a et T3b/RER A. Vous vous demandez maintenant pourquoi rejoindre Ubisoft? Avant tout parce que vous intégrez une entreprise Great Place to Work 6e au Palmarès France 2018, et que pour nous il ne s'agit pas que d'un classement mais bien d'une réalité. Ubisoft au quotidien, c'est allier les bons côtés de l'esprit startup avec les moType de contratContrat à durée indéterminéeContrat travail",NA,https://candidat.pole-emploi.fr/offres/recherche/detail/9459705,NA
Data scientist sur le predictive network (F/H) (H/F),France,"Vous rejoignez une équipe de data scientist qui travaille sur la maintenance predictive des réseaux au sein de l'entité DATAIA :  Imed a terminé sa thèse il y a un an et demi. Il travaille sur des modèles de prédiction de congestion dans les réseaux radio et sur les problématiques de génération de couverture radio.  Maroua nous a rejoint il y a quelques mois. Elle travaille sur la prédiction de la qualité de service pour les applications véhiculaires.  Carlos intervient sur les sujets plutôt liés au réseau cœur, mais il monte en compétence sur la partie radio avec Imed et Maroua.  Sylvain, manager de l'équipe, qui était auparavant data scientist et travaillait sur les données du réseau radio, les véhicules autonomes et la 5G. Il dirige également maintenant des projets européens avec des partenaires internationaux. D'autres membre de votre équipe travaillent également sur d'autres sujets :  Yoan et Phi travaillent sur des projets de recherche autour de l'ingénierie des connaissances.  Dominique est spécialisé dans la production de dashboard et il poursuit sa montée en compétence pour devenir data scientist.  Przemyslaw a une forte expertise autour de la mise en œuvre de plateformes expérimentales et de mesures. Il travaille aussi sur les projets de recherche véhiculaire, et sur le montage d'un site 5G expérimental à Belfort. Votre défi : inventer les solutions de demain pour rendre nos réseaux mobiles plus performants  Vous   souhaitez travailler dans un environnement orienté recherche  avez envie de travailler au contact des métiers pour comprendre leurs besoins et répondre à leurs problématiques  aimez construire des algos pour faire des analyses prédictives et statistiques  avez l'habitude de jouer avec des données digitales Votre mission : analyser, prototyper, accompagner l'industrialisation Vous travaillez sur le programme phare Network porté par deux directions d'Orange DATAIA et Réseaux. Votre rôle consiste à développer des modules d'IA permettant de rendre les réseaux radio de nouvelle génération 4G/5G d'Orange plus efficaces et plus innovants. Analyser  vous définissez les cas d'usage pertinents pour répondre aux problématiques de dysfonctionnements radio de nouvelles générations  vous faites l'acquisition des données existantes et tirez partie de nouvelles sources de données pas encore utilisées ou sousutilisées par les exploitants  vous prétraitez les données pour répondre aux cas d'usage identifiés Prototyper  vous concevez et mettez en place des algos en utilisant les modes d'apprentissage les plus appropriés en fonction du besoin métier  vous êtes toujours en veille sur l'état de l'art et challenger régulièrement vos algos  vous montrez la plusvalue de votre algo par rapport à ce qui se faisait jusqu'alors Accompagner l'industrialisation  vous accompagnez les équipes de développement afin d'industrialiser les solutions  une fois que les solutions sont mises en place, vous les adaptez pour coller au mieux aux contraintes des exploitants et des infras.Type de contratContrat à durée indéterminéeContrat apprentissage",NA,https://candidat.pole-emploi.fr/offres/recherche/detail/9454058,NA
Consultant Data Scientist (H/F),75 - PARIS 01,"Et si vous découvriez une ESN fondée par des consultants pour les consultants ? Vous recherchez une entreprise. * Avec un fonctionnement horizontal ? Nos consultants ont des responsabilités au sein de nos 4 pôles centraux ERP, Big Data, Business Intelligence et NTIC. * Avec une expertise dans la valorisation de la donnée ? Nous sommes présents depuis plus de10 ans dans ce secteur avec un écosystème d'experts, un Pôle R&D. * Référencée au sein des grands comptes du CAC 40, et impliquée sur toutes les phases de projets passionnants ? Retrouvez les interviews des Inventifs sur LinkedIn avec #LesInterviewsDesInventifs Rejoignez Inventiv IT ! Vous êtes au cœur de nos priorités, nos actions en sont le reflet : des activités sportives et ludiques hebdomadaires, un accompagnement par un Coach tout au long de votre carrière, une flexibilité d'horaires et du télétravail, qui apportent un équilibre de vie professionnelle et privée. Qui êtesvous ? Ingénieur de formation, vous disposez d'au moins 3 ans d'expérience dans l'exploitation de données. Vous avez un esprit entrepreneurial et souhaitez vous investir pour faire grandir l'entreprise dans laquelle vous travaillez. Vous savez fédérer les équipes autour de vous et avez une réelle expertise et rigueur dans ce domaine. Vous possédez un bon niveau d'anglais. Vos compétences et ce que nous attendons * Recueillir les besoins du client  Modéliser les données * Développer des algorithmes et scénarios pour répondre aux besoins de l'analyse * Tester, contrôler la qualité et la cohérence des résultats * Etre en veille sur les technologies data et les modèles de data science Machine Learning, Deep Learning. * Posséder des connaissances en mathématiques, en analyse de données et en langages statistiques tels que Python, R. * Maîtrise des méthodes de machine learning SVM, Random Forest, Kmeans. * Utilisation des outils d'intégration continue Jenkins, Sonar. * Bonne connaissance des technologies Big Data les plus courantes : Hadoop, Pig, Hive, Spark, Hbase. * Expérience sur une base de données et des connaissances en SQL Avantages : * Participation au transport * RTT * Titrerestaurant / Panier Statut : Cadre Type d'emploi : Temps plein, CDIType de contratContrat à durée indéterminéeContrat travail",NA,https://candidat.pole-emploi.fr/offres/recherche/detail/9453513,NA
CONSULTANT DATA SCIENTIST (H/F),92 - BOULOGNE BILLANCOURT,"Recherche: CONSULTANT DATA SCIENTIST H/FVos Missions:Dans le cadre de notre pôle Data Science, nous souhaitons recruter un Data Scientist pour assurer des missions de conseil chez nos clients, dans des équipes pluridisciplinaires. Les missions de conseils nécessitent :La compréhension des cas d'usage et la transformation des donnéesLa proposition de modèles d'analyse et de valorisationL'implémentation de nouvelles solutions méthodologiques et technologiques du traitement de ces données dans divers secteurs.Nos clients sont entre autres présents dans les secteurs du retail / ecommerce, bancassurance, énergie, industrie.Le champ d'intervention de nos consultants s'étend sur une grande variété de problématiques : modélisation dans le marketing digital, maintenance prédictive, voitures autonomes, détection d'objets dans des images.Type de contratContrat à durée indéterminéeContrat travail",NA,https://candidat.pole-emploi.fr/offres/recherche/detail/9448874,NA
INGÉNIEUR BIG DATA / DATASCIENTIST (H/F),06 - VALBONNE,"Recherche: INGÉNIEUR BIG DATA / DATASCIENTIST H/FDescriptif du poste Vous avez des compétences et un intérêt pour l'algorithmiqueVous êtes experte en services SOAVous avez des expériences significatives en livraison de solutionVous conseillez de solutions personnalisées d'application novatricesVous exécutez le conseil d'efficacité d'applicationVous exécutez l'analyse de portefeuille d'applicationQui sommes nous?SQUAD, c'est 550 experts #Cybersécurité, #Cloud ou #Digital.SQUAD est une société de convictions techniques qui a très tôt identifié une convergence entre ces trois métiers. L'intensification des menaces, la généralisation du Cloud et l'émergence du mouvement DevOps lui donnent raison.Créé en 2011, SQUAD connait une croissance « stratosphérique » pour atteindre en 2019 un chiffre d'affaires de près de 50 millions d'euros et intègre le TOP 10 des entreprises spécialisées en Cybersécurité. Les performances de SQUAD sont validées dans les classements français SYNTECKPM...Type de contratContrat à durée indéterminéeContrat travail",NA,https://candidat.pole-emploi.fr/offres/recherche/detail/9448302,NA
Senior Data Scientist - Intelligence Artificielle H/F,75 - PARIS 11,"Senior Data Scientist Intelligence Artificielle H/FEsprit Start up dans un grand groupe !#AI#DataScience#CIBVotre mission si vous lacceptez !Votre rle principal sera daider les fonctions et mtiers du Groupe BNP Paribas mieux comprendre les besoins de leurs clients et amliorer les produits et services qui leur sont proposs, dans un contexte en constante volution.Pour cela, vous analyserez les problmatiques souleves par le business, collecterez les donnes ncessaires, concevrez les solutions dintelligence artificielle puis assurerez le suivi des projets jusqu leur mise en production.Spcialis en intelligence artificielle, y compris par exemple en Natural Language Processing NLP, Natural Language Generation NLG ou Speech To Text STT, vous aurez un rle actif dans le dveloppement de solutions ltat de lart et sur mesure pour vos clients, utilisant des algorithmes de Deep Learning et sappuyant sur les GPUs de lquipe. Vous participerez ainsi la transformation digitale de BNP Paribas, immerg dans une quipe de data scientists passionns !L'environnement de travail, c'est important !Vous intgrerez lquipe CIB Corporate and Institutional Banking Analytics Consulting et plus particulirement le Lab dIntelligence Artificielle cr en 2016. Cette quipe lesprit Start Up est compose dune douzaine dexperts bass Paris.CIB se trouve Paris dans le 19me arrondissement, proximit de la station Rosa Parks desservie par le RER E et le Tramway 3b, dans des locaux rcents et penss Flex office. Vous aurez la possibilit de faire du tltravail raison de deux jours par semaine.Et aprs ?Ce poste vous permettra dlargir votre rseau grce aux nombreux interlocuteurs avec lesquels vous serez en contact. La diversit et la complexit des projets sur lesquels vous travaillerez vous permettront dacqurir une trs bonne connaissance du Groupe BNP Paribas. Votre curiosit et votre implication vous donneront la possibilit d'voluer, par exemple vers dautres Lab du Groupe ou de prendre des responsabilits managriales.Et la rmunration ?C'est un sujet important, qui sera bien sr abord. Nous saurons valoriser votre exprience et votre parcours.Pourquoi rejoindre BNP Paribas ?Notre monde change : notre manire de nous informer, de consommer et de travailler aussi ! Aujourdhui, ce qui compte dans un job, cest de vivre de vritables expriences, dapprendre, daller de lavant, de partager objectifs et rsultats avec ses collgues, dexprimer sa crativit. Bref, de tracer son propre chemin, diffrent, responsable et durable. Chez BNP Paribas, nous recrutons nos collaborateurs avec lide quils nous aideront concevoir le monde et la banque de demain.Vous voulez connatre toutes les raisons de nous rejoindre ? Rendezvous sur : https://group.bnpparibas/emploicarriere/bnpparibasType de contratContrat à durée indéterminéeContrat travail",NA,https://candidat.pole-emploi.fr/offres/recherche/detail/9447228,NA
Expert Datascientist x2 (H/F),75 - PARIS 01,"Nous recherchons deux profils expert qui interviendront au sein d'une équipe dédiée à la Datascience.Chaque Consultant interviendra sur un de ces sujets:1 Construire un dispositif pour monitorer l'impact des verbatims sur l'Experience Client, la notoriété de la marque et la concurrence. Plusieurs sources de données sont disponibles2Travailler sur un moteur de recommandations, faisant appel à des modèles de Machine Learning et d'optimisation des Flux pour accroître les taux de transformation tout en priorisant les lead Internet sur l'Auto, la MRH et la Santé pour les Prospects d'une marqueLes profils recherchés: Minimum 4 ans d'expérience sur le sujet Expérience similaire en Assurance et/ou agence Expérience en machine et deep learning Expérience en NLP Expérience en Python et/ou RLes Profils purs BI et Big data ne seront pas étudiés. En raison d'un grand nombre de cvs reçus nous ne pourrons malheureusement pas répondre à toutes les candidatures.Veuillez donc prendre en compte qu'après 3 jours ouvrés, votre profil ne sera pas retenu.Merci de votre compréhension.Type de contratProfession libéraleEmploi non salarié",NA,https://candidat.pole-emploi.fr/offres/recherche/detail/9447121,NA
DATA SCIENTIST CDI (H/F),75 - PARIS 01,"Recherche: DATA SCIENTIST CDI H/FFed IT, cabinet de recrutement spécialisé en informatique, recherche pour son client, acteur majeur dans le marché de l'optique, une Data Scientist en CDI, dans le cadre d'une création de poste. Poste situé dans le 8ème arrondissement de Paris.En tant que Data Scientist, vous êtes en charge d'accompagner les différentes directions de l'entreprise afin de développer la connaissance client en vue de l'optimisation des actions marketing et commerciales et de mieux prédire le comportement des clients.A l'aise avec les grands volumes de données structurées et non structurées, vous savez identifier les informations pertinentes et utiliser les méthodologies statistiques appropriées afin de répondre à des problématiques data complexes.A ce titre, vos missions sont : Gérer la data client : S'assurer de l'intégrité et de la bonne utilisation de la data data management ; identifier de nouvelles sources de données pertinentes. Organiser les d...Type de contratContrat à durée indéterminéeContrat travail",NA,https://candidat.pole-emploi.fr/offres/recherche/detail/9446719,NA
