title,localisation,desc,link,date,entreprise,note
Data Scientist H/F,92 - LEVALLOIS PERRET,"Description de l'entreprise La société, rattachée à un grand groupe de plus de 20.000 collaborateurs, possède et conduit des analyses sur la plus puissante et unique base de consommateurs représentatifs de la population française. Cette dernière fait partie du top 3 des bases consommateurs omnicanales les mieux qualifiées au monde. Les services et accompagnements proposés permettent notamment aux Marques de : * A partir de leurs données internes, d'approfondir le profil de leurs clients ou prospects à partir de données de consommation qu'elles ne possèdent pas, et donc de communiquer de façon plus pertinente et adopter une démarche bien plus proactive * Accéder à des études et programmes consommateurs permettant de développer la stratégie de conquête ou de fidélisation, tout en optimisant le ROI des campagnes * Analyser, prédire, approfondir des comportements de consommation, mener des campagnes d'acquisition sur des cibles appétentes aux produits et/ou services de la Marque Description du poste Dans le cadre du renforcement de l'équipe DBA & Analytique, la société recherche un profil Data Scientist pouvant répondre aux missions et avec les compétences décrites ciaprès. Vous souhaitez travailler sur des volumes de données et des approches analytiques très riches, participez à une aventure où votre contribution sera à l'origine des orientations de demain, aimez les challenges et être acteur de vos propres démarches analytiques et pas seulement spectateur, alors ce poste est fait pour vous ! PRINCIPALES MISSIONS · En adéquation avec les orientations stratégiques, réflexions la Stratégie de Connaissance Client 360° et le déploiement des démarches analytiques · Développement de la Customer Intelligence : mise en place de profiling, segmentations/classifications, scoring et de façon plus générale, toute approche mathématique/statistique valorisant la richesse des informations disponibles et mettant en avant des leviers business différenciant · Développement de la Business Intelligence : alimentation et enrichissement d'outils ou interfaces dédiée aux insights analytiques à destination des opérationnels et décisionnaires  incluant l'activité de comptages et sélection de cibles appétentes · Activité de R&D via l'exploitation de techniques avancées et innovantes PROFIL RECHERCHE / COMPETENCES :  · Niveau 4 ou 5ème année d'études, spécialisations statistiques/mathématiques, data science, DBA spécialisé ou tout autre formation ad hoc · 3 ans d'expérience professionnelle minimum · Aptitude à comprendre et « jongler » avec de grosses bases de données, avec une sensibilité « business oriented » · Customer Intelligence : expérience en modélisations statistiques scoring, classification, etc., méthodologies descriptives et prédictives. Les approches par IA et analyses sémantiques seraient un plus · Business Intelligence : expérience en alimentation de solution de data visualisation & reporting · Compétences techniques : déploiement de scripts SQL PostgreSQL impératif, MySQL, SQL Server., Python, R, solutions d'Analytics et tout autre outil nécessaire au data management et aux analyses statistiques avancées · Aptitude à vérifier, confronter, consolider, sécuriser les résultats des analyses et KPIs produits avant tout déploiement · Esprit d'équipe, curiosité, réactivité, autonomie et force de proposition · Fort intérêt pour les nouvelles technologies et les innovations CONDITIONS :  Contrat en CDI Salaire selon profil Localisation  Paris Pont de Levallois Industrie : Médias et communication Type d'emploi : Temps plein, CDI Salaire : 45 000,00€ à 70 000,00€ /an Télétravail: * OuiType de contratContrat à durée indéterminéeContrat travail",https://candidat.pole-emploi.fr/offres/recherche/detail/9838293,2020-05-04,NA,NA
Ingénieur big data / datascientist (h/f),France,"ENTREPRISE SNEF Lab réunit les métiers de la sphère digitale qui comprend l?informatique industrielle, les objets connectés, la cybersécurité, l?audiovisuel et la maintenance prédictive. SNEF Lab vient enrichir la démarche globale du Groupe SNEF et révolutionne son métier pour répondre aux enjeux de demain. PREDICT développe des technologies numériques éprouvées pour la performance des Industries d?Avenir : Usine, Véhicule, Avion et Navire du Futur. Elle intervient dans de nombreux secteurs industriels, tels que les machinesoutils, les véhicules industriels, la sidérurgie, l?énergie électrique hydraulique, nucléaire, hydrolien, éolien, turbine à gaz, le naval défense, offshore, maritime, l?aéronautique, le spatial. Elle conçoit, développe et met en ?uvre deux lignes de produits logiciels : CASlP : solution tempsréel et KASEM : plateforme collaborative d?analyses de données massives pour la détection précoce, l?anticipation, le diagnostic prédictif, les bilans de santé tempsréel, le pronostic, l?investigation et la thérapie proactive. Dans le cadre de son développement, PREDICT recherche des ingénieurs pour s?impliquer dans des projets afin de déployer ses solutions pour des grands comptes leaders sur leur marché. MISSION Dans le cadre des projets de maintenance prédictive pour nos Clients, vous serez en charge de traiter et d?analyser les données en vue de concevoir, développer, implanter et déployer des algorithmes de surveillance, de détection précoce, de comparaison et d?anticipation. Vous exploiterez les technologies de stockage NoSQL, les bibliothèques de traitement Python et R, et ferez évoluer la plateforme existante de stockage de données temporelles vers ces technologies. Vous développerez une nouvelle plateforme d?analyse de données temporelle basée sur Spark, en partant d?algorithmes spécialisés dans la maintenance prédictive.  Sous la responsabilité du Responsable des Projets Clients et en lien avec la R&T apportant des briques technologiques de TRL67, vous intégrerez l?équipe Ingénierie et Projets Clients. A ce titre, vos principales missions consistent à : appréhender les besoins en stockage et traitement de données massives  gérer le bon développement et l?intégration des technologies de gestion des données analyser les cahiers des charges techniques des clients  développer et mettre en ?uvre les technologies BigData tirer profit des expériences BigData KASEM  tester les développements identifier les technologies BigData nécessaires pour répondre aux attentes des clients  expérimenter les technologies sur des cas d?usage définir les compléments technologiques pour une nouvelle plateforme BigData  assurer la tenue des délais concevoir l?architecture de la nouvelle plateforme BigData  concourir à la stratégie technologique de l?entreprise participer à l?intégration des technologies de machine learning et d?analyticsType de contratContrat à durée indéterminéeContrat travail",https://candidat.pole-emploi.fr/offres/recherche/detail/9833703,2020-05-03,NA,NA
Data Scientist H/F,75 - PARIS 09,"AVENTI, cabinet de conseil spécialisé dans l'IT recrute un ""Data Scientist"" H/F pour son client, une entreprise en constante croissance depuis plusieurs années dans le secteur de la FinTech située à Paris 9. Vos missions principales :  * Analyser des ensembles de données complexes de millions d'utilisateurs * Transformer les données brutes en informations claires et exploitables * Créer des tableaux de bords et différents outils pour faciliter la compréhension des utilisateurs * Fournir des recommandations et des critiques afin d'améliorer les applications mobiles * Gérer plusieurs projets à la fois dans un environnement toujours en évolution constante Compétences techniques : Python, Tensorflow, Databases, Applications mobiles Profil :  * Curieux * Dynamique * Motivé * Ambitieux CDI à pourvoir dès que possible  Nombreux avantages Rejoignez leur équipe ! ENVOYEZNOUS VOTRE C.V. Type d'emploi : Temps plein, CDI Salaire : 70 000,00€ /an Télétravail: * NonType de contratContrat à durée indéterminéeContrat travail",https://candidat.pole-emploi.fr/offres/recherche/detail/9832201,2020-05-03,NA,NA
DATA SCIENTIST CDI (H/F),75 - PARIS 01,"Recherche: DATA SCIENTIST CDI H/FFed IT, cabinet de recrutement spécialisé en informatique, recherche pour son client, acteur majeur dans le marché de l'optique, une Data Scientist en CDI, dans le cadre d'une création de poste. Poste situé dans le 8ème arrondissement de Paris.En tant que Data Scientist, vous êtes en charge d'accompagner les différentes directions de l'entreprise afin de développer la connaissance client en vue de l'optimisation des actions marketing et commerciales et de mieux prédire le comportement des clients.A l'aise avec les grands volumes de données structurées et non structurées, vous savez identifier les informations pertinentes et utiliser les méthodologies statistiques appropriées afin de répondre à des problématiques data complexes.A ce titre, vos missions sont : Gérer la data client : S'assurer de l'intégrité et de la bonne utilisation de la data data management ; identifier de nouvelles sources de données pertinentes. Organiser les d...Type de contratContrat à durée indéterminéeContrat travail",https://candidat.pole-emploi.fr/offres/recherche/detail/9827565,2020-05-03,NA,NA
DATA SCIENTIST CYBERSECURITE F/H (H/F),33 - BORDEAUX,"multipliee par plus de 150 !A· 16 millions de clients : soit 1 cyberacheteur sur 2.A· 300 000 mA² d'entrepots : soit 41 terrains de foot pour stocker vos produitsA· 19 commandes enregistrees en moins de 10 s : soit aussi rapide que le record d'Usain Bolt sur 100m.A· 20 millions d'offres market place et plusieurs milliers de vendeurs,C'est aussi :A· Plus de 60 metiers representesA· 50 % de femmes et 50% d'hommesA· Des valeurs fortes portant sur l'ensemble de nos actions internes et externes : Proximite, Audace, Engagement et FiabiliteAvec la signature de plusieurs accords d'entreprise, Cdiscount a pris de nombreux engagements pour favoriser l'egalite homme / femme et l'emploi des personnes en situation de handi cap. Cdiscount est notamment signataire de la Charte de la Diversite en entreprise.Cdiscount est egalement une filiale de Cnova N.V, le pole ea?Commerce du groupe Casino.Type de contratContrat à durée indéterminéeContrat travail",https://candidat.pole-emploi.fr/offres/recherche/detail/9820260,2020-05-02,NA,NA
Ingénieur Data Scientist Junior H/F,31 - TOULOUSE,"www.cs.frNous rejoindre c'est : Beneficier d'un management de proximite. Progresser individuellement et collectivement. Evoluer dans un environnement flexible teletravail..., a  dimension humaine et convivial.Ou sommesnous situes ?Notre agence se situe a  SaintMartin du Touch  6 rue Emmanuel Arin  31300 Toulouse.Le site Europarc 2 est accessible en transports en commun : Ligne de Bus L2  Arret Jean Petit. Ligne C SNCF TER  Arret SaintMartinSi vous preferez, CS rembourse des indemnites kilometriques velos !Interesse ? Deposez votre CV et additionnons nos talents !Type de contratContrat à durée indéterminéeContrat travail",https://candidat.pole-emploi.fr/offres/recherche/detail/9819967,2020-05-02,NA,NA
Data Scientist h/f- Paris- Cdi,75 - Paris (Dept.),"Data Scientist h/f Paris Cdi  Réf 100813370  Paris : MissionsEn tant que Data Scientist, vous aurez pour missions : D'analyser les donnees a  l'aide d'outils statistiques et de Machine Learning D'etudier le marche europeen des vehicules d'occasion D'identifier les flux d'utilisateurs De mettre en correlation les donnees recues De creer des typologies de profil d'utilisateur present sur notre leur internet De produire des rapports et visualisationsType de contratContrat à durée indéterminéeContrat travail",https://candidat.pole-emploi.fr/offres/recherche/detail/9812506,2020-05-02,NA,NA
Consultant Data Scientist (H/F) - CDI,75 - Paris (Dept.),"Nous commercialisons egalement les solutions Vertica pour la partie Base de donnees et DataRobot pour la partie Intelligence Artificielle.Mydral propose une montee en competences sur les outils de sa plateforme analytique et des missions en iledeFrance principalement, et aussi a  Niort. Nous intervenons sur tout le cycle de valorisation de la donnee : Data Gouvernance, Data Preparation, Data Science, Data Visualisation, Strategie Business. Nos consultants travaillent chez le client en binome ou dans des equipes de 3 a  6 personnes environ. A long terme, certains consultants occupent des postes de Practice Managers et deviennent des referents Produit ou Metier aupres de nos clients Banque, Industrie, Assurance, Energie, Logistique, Transport, etc..Venez nous rencontrer a  notre Afterwork Data Recrutement le mardi 3 decembre 2019 dans nos locaux a  Paris 20 rue du Sentier pour en savoir plus sur Mydral. Pour vous inscrire :https://www.eventbrite.fr/e/billetsafterworkdatarecrutement769525731Quelques liens d'information : Les annonces Mydral Data Analyst, Data Scientist, Business Analyst, Data Architect, etc. : https://www.mydral.com/recrute.html Mydral au Salon du Big Data : https://www.youtube.com/watch?v=2Z3SskQSouY Le Summer Outing 2019 de Mydral : https://www.youtube.com/watch?v=bPx7PVy9e4MType de contratContrat à durée indéterminéeContrat travail",https://candidat.pole-emploi.fr/offres/recherche/detail/9812408,2020-05-02,NA,NA
DATA SCIENTIST H/F,92 - NANTERRE,"Au sein du service Etudes et développement de la DSI, le pôle « DATA », nouvellement créé, est en charge de centraliser les flux de données, rendre cohérentes ces données afin de fournir des analyses et indicateurs à destination des équipes internes du groupement et des magasins adhérant au groupement.A ce titre nous recrutons un DATA SCIENTIST h/fVous aurez pour missions :  Construire puis maintenir l'architecture des entrepôts de données et outils d'analyse En collaboration avec le pôle « Etudes et Performance », prendre en charge les projets les études  Formaliser les demandes issues des directions utilisatrices Identifier les données utiles pour ces analyses, les rendre cohérentes et exploitables  Construire les modélisations à la fois mathématiques et informatiques permettant de répondre à ces demandes Interpréter les résultats des études pour donner du sens aux analyses Expliciter les résultats des analyses et les rendre exploitables par les directions métier Etre force de proposition sur La construction des outils La création de métriques et indicateurs à destination de l'ensemble des directions Les tendances à analyser, les pistes d'études à explorer Proposer et mettre en œuvre l'aspect Gouvernance des données en étroite collaboration avec le pôle « Etudes et Performance »   PROFIL RECHERCHÉDe formation Bac+5 minimum type Ingénieur, vous avez une expérience d'au moins 3 ans dans l'analyse de données, au cours de laquelle vous avez développé les compétences suivantes :  animation d'ateliers internes ou de rencontres ciblées avec des experts métier et/ou techniques analyse et synthèse des besoins prise en charge du cycle depuis le recueil des besoins jusqu'à la restitution des analyses en passant par les phases de datacleaning, modélisation et codage  prototyper pour proposer des pistes de solution rapidesVous êtes force de proposition à la fois sur les outils à mettre en œuvre Dataware / datamarts, algorithmes d'autoapprentissage et cas d'usage, datavisualization et sur l'interprétation des tendancesRigoureux, organisé, curieux, vous êtes un bon communiquant doté de qualités rédactionnelles, mais aussi curieux et aimez le travail en équipeComptétences techniques : Socle technique robuste Structure de données, bases de données Postgresql, éventuellement NoSQL programmation Python voire R Expertises en algorithmie, solide bagage mathématique / statistiques      Type de contratContrat à durée indéterminéeContrat travail",https://candidat.pole-emploi.fr/offres/recherche/detail/9805278,2020-05-02,NA,NA
Data scientist / machine learning engineer (H/F) - Expérience 4 ans minimum,94 - FONTENAY SOUS BOIS,"Descriptif de la mission au sein d'une équipe infrastructure : Contribuer au développement de MVP et de data products de production Contribuer au suivi et à l'amélioration continue des data products en production Formaliser des problématiques business infrastructure IT en projet de data science Proposer des évolutions des produits existants ou de nouveaux produits Proposer et mettre en œuvre l'industrialisation du machine learningDivers livrables projets de data science, dont l'analyse du besoin.ABSIS GroupeABSIS Groupe 13 M€ de CA en 2018 est composé des sociétés ABSIS Conseil Conseil en organisation/gestion de projets, en architecture et infrastructure intervenant principalement auprès des Directions métiers et des DSI des grands comptes français et internationaux et ALDEMIA Conseil et expertise en qualification logicielleFondé sur le principe de Valorisation du Capital Humain notre groupe s'est construit qualitativement grâce à nos collaborateurs et à nos clients.Nous orientons aujourd'hui notre développement autour de 3 valeurs fortes : Coopération, Réalisation de soi et Innovation !ContexteNotre souhait est pour les 3 prochaines années de consolider nos positions en Banque / Finance / Assurance et d'ouvrir de nouveaux secteurs d'activités Services, Energie, Environnement., tout en renforçant nos offres d'expertises RQA/RPA, PMO Tool Box, formationStructure à taille Humaine, vous serez écouté, accompagné et valorisé au sein d'une équipe dynamique, compétente et bienveillante.Vous aurez aussi un autre objectif majeur : être heureuxse dans votre nouveau job ! Vouspourrez compter sur l'équipe ABSIS Groupe pour vous aider à réaliser cet objectif.Rémunération / Avantages Rémunération : de 55 K€ à 65 K€ sur 12 mois 70 % du Pass Navigo Annuel 10 jours de RTT Prime vacances Chèques vacances Télétravail Primes avantageuses Statut : Cadre Type d'emploi : Temps plein, CDI Salaire : 55 000,00€ à 65 000,00€ /anBonnes pratiques data sciencePipeline industriels de machine learningContributions et utilisation de composants de data science mutualitéTechnologies : Hadoop / Hive / Kafka / Spark / GIT/ Agile / Linux / open Source / PYTHON Le plus important étant GIT et PythonType de contratContrat à durée indéterminéeContrat travail",https://candidat.pole-emploi.fr/offres/recherche/detail/9802970,2020-05-02,NA,NA
