title,localisation,desc,note,link,entreprise,date
Data Scientist Analyst,France,"Danone is a global food company holding top positions in healthy food through its four businesses Fresh Dairy Products, Early Life Nutrition, Waters, and Medical Nutrition. Its mission, bringing health through food to as many people as possible, embodies commitment to human progress and business success. It gives meaning to the work of our 100,000 Danoners worldwide on an everyday basis. For passionate people looking for autonomy and exciting career opportunities, Danone truly has something special inside!Danone Research, a subsidiary of Danone, is looking for Data Scientist Analyst - L9 France (FR) ParisThe context We are building a team in Paris to be the ""Data analytics and AI center of Excellence"" for Europe as well as the data sciences capabilities for Europe in Danone. This team will be part of the new Chief Data Office at Danone promoting data as an asset and covering topic like data governance, data transformation and master Data Management.As Data Scientist Analyst, your main responsibilities will beYour mission Collaborate with data project leaders & business partners, from business needs identification to deployment of practical solutions and modelsImplement ETL workflows, Data Mining/Wrangling to make data useable and understandable for other Data Scientists or business teamsDevelop algorithms and predictive models (Machine Learning/Deep Learning) to answer business problemsShare results to technical and business teams (Data Visualization)Improve and build team's knowledge, processes and best practicesYour profile Technical And Personal Skills NeededEngineer with a specialization in Information Management, Data management, or Big Data A MSc, PhD or other Advanced Degree in a field linked to computer science, applied mathematics, statistics, machine learning, or related data centric areas,We are looking for people having 2 to 6 years of experience in Data Science with 1-year experience in developing machine learning models in Python or R 1-year experience in programming (e.g., Python, R)Experience in FMCG industry is a plus.Ability to manage complexity and to work under pressureRigor, methodical and structured approachAbility to work in an international environmentGood interpersonal skills, team spiritFluent English is a must, French would be a plusFor more information about Danone, its people and its business, please visit danone.com. We have something special inside, do you?„Each time we eat and drink, we can vote for the world we want to live in."" EMMANUEL FABER, CEO140678Niveau hiérarchiqueNon pertinentType d’emploiTemps pleinFonctionIngénierieTechnologies de l’informationSecteursBiens de consommationRestauration collectiveAgro-alimentaire",NA,https://fr.linkedin.com/jobs/view/data-scientist-analyst-at-danone-1802163907?refId=6b6c4ed4-0d81-4d19-ab04-1912cb3c7517&position=19&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,NA,NA
Data Analyst  H/F,Lyon,"A propos de BedrockBedrock est leader européen dans la conception et le développement de plateformes de streaming pour les grands groupes de médias. Fondée par M6 et RTL Group / Bertelsmann, la société compte aujourd’hui plus de 200 collaborateurs répartis entre les sites de Paris et de Lyon, et près de 30 millions d’utilisateurs en Europe. Dans le cadre d’une forte croissance de ses investissements technologiques, Bedrock vise un doublement de ses effectifs d’ici 3 ans.Si vous êtes passionné(e)s par l’univers des technologies et des médias, et que vous aspirez à développer les applications de streaming vidéo de demain, rejoignez-nous !Missions principalesAu sein du pôle Data, nous recherchons des Data Analyst pour intégrer une équipe en forte croissance composée de Lead Data, Machine Learning Engineer, Data Scientists. Votre rôle consiste à faire parler la donnée et faciliter la prise de décision :Extraire et traduire des données brutes en données actionnables en établissant les définitions et les « data models » permettant leur utilisation à des fins de mesure de la performance business et opérationnelAnalyser et modéliser nos larges quantités de données afin d’améliorer l’expérience de nos utilisateursDévelopper et maintenir la documentation techniqueCommuniquer et évangéliser les utilisateurs de la dataIdentifier des nouvelles sources de données pertinentesAssurer une veille sur la qualité des donnéesQualificationsDiplômé(e) d’un Master en Statistiques ou Mathématiques appliquées, Économétrie ou Data Science, vous disposez d’au moins 2 ans d’expérience sur un poste similaire.Vous avez une excellente maîtrise des bases de données SQL et des compétences avancées en statistiques /informatique. Vous faites preuve d’une grande curiosité, d’excellentes capacités d’analyse et de synthèse ainsi qu’une forte appétence pour la résolution de problème.Vous disposez de réelles aptitudes avec la manipulation de données chiffrées , en organisation ainsi qu'un fort esprit d'initiativeVous aimez faire du storytelling en utilisant la data visualisationVous avez un bon niveau d'anglais oral et écrit.Tech@BedrockBack-end : PHP, Symfony,...Front-end : JS, React, Vue, Node,...DevOps : AWS, Kubernetes, Terraform,...Data : Python, Scala,...Mobile : Swift, Java,...Life@BedrockIntégrer une société tech en forte croissance avec plus de 10 ans d’expériences et s’appuyer sur de solides actionnaires dans le monde des médias,Passion, curiosité et esprit d’équipe dans un environnement “challenging” et unique,Développement des compétences et large place au “knowledge sharing” : conférences, meetups, talks, veille, R&D,...Plus de 200 collaborateurs à la Technique et au Produit. Des équipes agiles (maximum 8 personnes) et une proximité avec le management.Niveau hiérarchiqueConfirméType d’emploiTemps pleinFonctionTechnologies de l’informationSecteursTechnologies et services de l’informationDivertissementsMédias en ligne",NA,https://fr.linkedin.com/jobs/view/data-analyst-h-f-at-bedrock-1821622835?refId=6b6c4ed4-0d81-4d19-ab04-1912cb3c7517&position=24&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,NA,NA
Consultant Data Science - McKinsey Analytics,Paris,"Apply NowQualificationsStrong academic qualifications with an advanced degree in a quantitative discipline (e.g., statistics, mathematics or econometrics, economics, ops. research or any related field)2+ years of deep technical experience in predictive analytics, machine learning, optimization etcFluent in a number of the following technologies - e.g., R, Python, Julia, SQL, GMPL, or relatedGood knowledge of statistical approaches, incl. advanced machine learning techniques (e.g. Data Science, Support Vector Machines, Neural Nets, Deep Learning, Machine Learning) and/or optimizationWillingness to travel up to 80%French and English fluency requiredWho You'll Work WithYou will be based in Paris and will be part of McKinsey Analytics, serving clients from the region.Given the unprecedented proliferation of data in the world today and our clients’ growing need to understand and capture value from it, McKinsey Analytics is rapidly expanding. Ongoing investments in our people and technology platform, combined with acquisitions of leading-edge firms like QuantumBlack and Risk Dynamics, have made us one of the largest and most esteemed advanced analytics consultancies today.Combining state-of-the-art tools and techniques with McKinsey’s 85-plus years of experience, we enable our clients to improve their performance through data and become analytics-driven organizations.A critical part of McKinsey’s mission is to create an unrivaled environment for exceptional people. We pride ourselves on fostering an atmosphere of ongoing learning and development for those seeking to constantly enhance their capabilities and knowledge. Through efforts like internal grant programs, continuing education, and secondment opportunities, learning and skills-improvement opportunities are endless for our data professionals around the world.What You'll DoYou will focus on the development of Advanced Analytics models to optimize underlying business problems.As a Data Scientist, you will work through our clients’ entire data ecosystem to understand what’s available, what’s missing - and where to find and collect that information. You will develop, implement and maintain effective programs around all elements of data engineering and modeling with a constant eye toward continuous improvement. You will apply data science methods to improve and optimize our clients performance needs, capture meaningful insights from data and turn them into competitive advantages. You will help the creation of statistical models to solve specific operational problems, which may include predicting equipment failure to do proactive maintenance for wind turbines, determining how to use machine learning to predict consumer behavior, etc. In solving these problems, you will have access to proprietary feature engineering AI and teams of world-leading experts in your domain. You will be in the room, often with the senior management, working side by side with talented data scientists from leading client organizations both on technical issues and on making the change happen.Our work across the analytics landscape is driven by experts with a broad range of analysis, coding, modelling, design, and system-architecture disciplines. We apply these to achieve measurable and outsize impact on real-world problems such as reducing crime, improving healthcare, optimizing manufacturing, and improving customer experiences. Examples around the world include Enabling a major European pharmaceutical client to reduce trial times by 15 percent. Simulating mining operations for our American gold mining client that identified opportunities to raise capacity by 20-40 percent. Creating a route-optimization and scheduling model for one of the largest Chinese logistics companies, which resulted in a lowered carbon footprint and hard cost savings of 65 percent.Niveau hiérarchiqueConfirméType d’emploiTemps pleinFonctionSciencesConseilTechnologies de l’informationSecteursServices financiersIndustrie pharmaceutiqueBiens de consommation",NA,https://fr.linkedin.com/jobs/view/consultant-data-science-mckinsey-analytics-at-mckinsey-company-1757856832?refId=6b6c4ed4-0d81-4d19-ab04-1912cb3c7517&position=25&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,NA,NA
Data-scientist,Aix-en-Provence,"Description du posteDans le cadre du développement de nos activités, nous recrutons unIngénieur Data-scientist. Vos Missions Seront Les Suivantes– Analyse de problématique– Développement en Scala, Python sur des environnements Hadoop, Spark,Cloudera Impala…– Développement d’algorithmes– Développement des modèles de données d’analyse– Déploiement des solutions Big Data– Mise en place d’outils web– Veille technologique et génération de nouvelles propriétésintellectuellesProfilDe formation BAC+5, issu d’une école d’ingénieur ou équivalent orientéeData, vous disposez d’une première expérience significative sur un postesimilaire.Vous maîtrisez les principaux langages de Data Science (R, Python…), lessystèmes de gestion de données & de requêtes, ainsi que les méthodes deMachine Learning.Dans le cadre de sa politique de diversité, Davidson étudie à compétenceségales toutes les candidatures, dont celles de personnes en situation dehandicap.Informations complémentairesExpérience requise : Tout niveau d’expérienceNiveau d’étude requis : BAC +5Salaire indicatif : À définirLieu de travail : ValbonneNiveau hiérarchiquePremier emploiType d’emploiTemps pleinFonctionIngénierieTechnologies de l’informationSecteursTechnologies et services de l’informationLogiciels informatiquesInternet",NA,https://fr.linkedin.com/jobs/view/data-scientist-at-davidson-consulting-1796669987?refId=6476d7d7-9cd4-43f1-b112-6ee39b6a3bb7&position=7&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,NA,NA
Data Analyst,Gennevilliers,"Publiée par :Malika AchmaouiMalika AchmaouiResponsable recrutement et mobilité chez Prisma Media Rattaché(e) au manager du service BI / Analytics / Data science, vous intervenez en tant que Data Analyst afin de développer l'analyse de données chez Prisma.Ce service a pour vocation d'optimiser l'utilisation des données client et business par les différents services de l'entreprise, pour aider à la prise de décisions, améliorer la compétitivité de l'entreprise et participer activement à la transformation digitale. Tout cela s'effectue au travers des deux leviers que sont l'activité Analytics (BI) et la Data science. Missions :- Vous exploitez les données disponibles via l'analyse de données et la présentation de recommandations auprès des équipes métier chez Prisma- Vous intervenez sur l'ensemble du projet : collecte et compréhension des besoins métier, extraction, transformation et préparation des données, analyse des données (analyse statistique, exploratoire, descriptive ou prédictive), interprétation et restitution des résultats- Vous développez des dashboards et data visualisations afin de mettre la donnée à disposition de l'ensemble des métiers pour les aider à piloter leurs performances et optimiser leurs activités- Vous apportez une aide à la décision qui s'appuie sur les enseignements tirés des analyses et vous fournissez des recommandations actionnables aux métiers, via l'interprétation et la présentation des résultats aux équipes- Vous intervenez notamment sur les données issues de la diffusion (des magazines), du trafic digital et de la base CRM (Users accounts qui représente environ 2 Millions d'utilisateurs actifs et 3 Millions d'utilisateurs flottants) : analyse des ventes, analyse des comportements pour identifier des leviers et des opportunités de croissance, parcours client, fidélité, valeur client, churn, etc- Vous collaborez avec l'ensemble des départements (pôles marques, marketing, RH, régie publicitaire, …) en les accompagnant dans l'identification de leurs besoins et la structuration de la problématique, ainsi que dans l'appropriation des analyses- Vous collaborez avec les équipes IT, data engineers et data scientists et participer aux différents projets data (collecte de nouvelles sources de données, transformation de la donnée, déploiement des analyses)- Vous assurez une veille technologique sur les solutions d'advanced analytics et les solutions de gestion de données, les tendances et nouvelles pratiquesNiveau hiérarchiqueManagerType d’emploiTemps pleinFonctionAnalysteSecteursMédias en ligne",NA,https://fr.linkedin.com/jobs/view/data-analyst-at-prisma-media-1816465146?refId=6476d7d7-9cd4-43f1-b112-6ee39b6a3bb7&position=19&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,NA,NA
Data Scientist for commodity Market Analyst,Courbevoie,"Who We AreENGIE is a global energy company, a leading provider of electricity, natural gas, and energy services. With 153,090 employees in more than 70 countries worldwide, ENGIE achieved revenue of €66.6 billion in 2016. ENGIE is committed to being a leader in the energy transition.We are looking for talented and motivated people to create the future of energy. Join a rewarding and flexible work environment that encourages innovation and creativity, and help us meet the energy challenges of today and tomorrow.Global Energy Management (GEM) is one of ENGIE's Business Units. We deliver services in supply and logistics management, asset management, risk management, market access management, while contributing to the market understanding, design and efficiency and developing market solutions to accelerate the energy transition.GEM manages one of the largest and most diversified energy portfolios in Europe, including electricity, natural gas, bulk commodities and environmental products.With 5 trading platforms and activities in more than 50 countries, GEM has an extended geographical coverage in Europe, Asia-Pacific and in the US. It employs 1,300 people around the world.OrganizationThe data scientist will be part of an extended team of market analysts and meteorologists who sit on the trading floor.We offerIntellectually challenging jobIntegration within a larger team of experienced market analystsAutonomy and possibility to take responsibilitiesPossibility to grow, learn and develop, including some attendance to conferenceContextTargeting superior energy market knowledge, we build independent analyses and provide positions to give to GEM & Engie a competitive advantageDeveloping consistent market views (gas, power, oil, bulk, carbon, meteo) to explain market moves and forecast future evolutionDelivering ad-hoc fundamental, statistical and technical analysesPro-actively seeking innovative solutions to improve sales, traders and business developers performance as well as to support senior managers in their decision making processProviding market analysis reports and services to a defined set of internal and external clients.Providing strategic insights on new businesses linked to energy transitionRepresenting GEM in external forum or conferences in relation with energy market knowledgeRoleThe Data Scientist will coordinate developments of the team on innovative methods to analyze commodity markets. He/She will focus on fostering machine learning, automated analysis on gas & power market fundamentals (supply/ demand forecast). He/She will support the traders and GEM front entities and develop directional market views.Main ActivitiesHis/Her activities will cover the following:Develop and maintain machine learning models to forecast supply & demand components of gas & power marketsDevelop and maintain models to forecast market prices in collaboration with market analystsCoach team members in the domain of data science and machine learningContribute to projects with traders and portfolio managersContribute to data collection, cleaning and analysisFollow academic developments in the domain of machine learning applied to commodity markets and meteoPromote team spirit and collaboration.Work location:Courbevoie, ENGIE T1TravelsRegular travelsEducation And Professional BackgroundMaster degree or PhD in relevant area (engineering, finance, mathematics, statistics etc)Hard Skills3 to 5 years experience at least in data science applied to marketsGood knowledge of commodity marketsStrong analytical skills, programming skills (Python and/or R), ability to build models and apply data science & machine learning to operational topicsExperience in trading environment: Ability to work with traders, to translate market analyses into propositions/Strategies and to communicate them clearlySoft SkillsClear and effective communication both written and verbal; ability to explain and convey messages about complex issues and models; ability to work in multi-cultural environment.Reactivity, creativity, initiative, autonomy, ability to cope with tight deadlines, team spiritLanguagesFluent in EnglishAdditional Information Posting Date: Apr 6, 2020Niveau hiérarchiquePremier emploiType d’emploiTemps pleinFonctionIngénierieTechnologies de l’informationSecteursConstructionTechnologies et services de l’informationRecrutement",NA,https://fr.linkedin.com/jobs/view/data-scientist-for-commodity-market-analyst-at-f4-group-1819348172?refId=6476d7d7-9cd4-43f1-b112-6ee39b6a3bb7&position=24&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,NA,NA
Data Scientist,France,"La sociétéCréé en 2013, cette entreprise développe un logiciel permettant aux entreprises du secteur de l’industrie de suivre et optimiser en temps réel leur consommation énergétique.Deux Leviers Sont Offerts à Leurs ClientsHumaine, avec une équipe d’ingénieurs fournissant des solutions détaillées d’optimisationsTechnologique, en se basant sur des ontologies ils réalisent des analyses prédictives et automatisent les bonnes pratiques à mettre en placeAyant levé plusieurs fois des fonds sur les dernières années, ils sont aujourd’hui déjà présents sur 4 continents et se sont imposés comme un acteur mondial majeur de son secteur d’activité.Vous l’aurez compris, au cœur de ce projet: la data. C’est pourquoi, pour accompagner leur forte croissance, il recherche un nouveau data scientist pour travailler sur toutes leurs problématiques liées à l’IA.Le posteAu Sein De L’équipe Data Vos Missions SerontRéaliser et mettre en production des modèles prédictifsAnalyses complexes de données à des fins d’optimisation énergétiqueLien avec les responsables de projets et clients pour la présentation de résultatsDéveloppement d’un modèle d’IA automatisé (python/go)Participation occasionnelle aux projets R&DVotre profilBac+5 – école d’ingénieur appréciée1ére expérience dans le monde de l’IABon niveau: Python (pandas, numpy, sk learn, keras, tensorflow)Connaissance: Spark, Go, DockerAnglais courantLe salaire40/60k€ (selon expérience)Ce qu’on préfèreUn sujet sociétal innovant permettant de voir directement le fruit de son travailUne société en hyper croissanceDe belles perspectives d’évolution en interneDes bureaux en plein cœur de ParisParticiper à la sélectionNiveau hiérarchiquePremier emploiType d’emploiTemps pleinFonctionIngénierieTechnologies de l’informationSecteursTechnologies et services de l’informationLogiciels informatiquesInternet",NA,https://fr.linkedin.com/jobs/view/data-scientist-at-octopus-it-group-1767510600?refId=6476d7d7-9cd4-43f1-b112-6ee39b6a3bb7&position=25&pageNum=1&trk=public_jobs_job-result-card_result-card_full-click,NA,NA
Data Scientist H/F Paris,France,"Description du poste et missionsNous recherchons pour une grande société spécialisée dans l’acquisition et le traitement de données géométriques, un data scientist pour intervenir au sein du département R&D et développer des solutions de mesure.Vous serez en charge de développer le traitement du signal :A travers les capteurs permettant de collecter la dataA travers les process d’acquisition terrainA travers le développement logiciels et solutions SIGProfil recherchéVous êtes idéalement issu d’une formation ingénieure et vous avez des connaissances en informatique, en photogrammétrie, en géométrie.Niveau hiérarchiquePremier emploiType d’emploiTemps pleinFonctionIngénierieTechnologies de l’informationSecteursConstructionTechnologies et services de l’informationRecrutement",NA,https://fr.linkedin.com/jobs/view/data-scientist-h-f-paris-at-ltd-1829715630?refId=c9844cb8-62f5-4042-b982-0f11df22e803&position=1&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,NA,NA
Data Scientist,Paris,"Vos missions Intégré(e) au sein de l’équipe Data science, tu auras la responsabilité suivante: Recherche algorithmique pour analyser les données pertinentes et partage avec l’équipe Réalisation de prototypes par la mise en pratique des méthodes retenues Implémentation de services sur la plateforme ou dans les produits Withings, en tenant compte des contraintes de ressources et de temps d’exécution Proposition de fonctionnalités nouvelles pour les applications et produits Withings Lien avec les équipes de Recherche Appliquée et de Développement Produit pour comprendre les données recueillies (notamment leur qualité, leur lien avec la physiologie et le fonctionnement interne du produit) et proposition d’améliorations  REQUIREMENTS De formation doctoratale ou PHD, vous disposez de: Solides connaissances théoriques en statistiques, machine learning, algorithmie Fortes compétences informatiques : calcul scientifique, Python Rigueur, autonomie, initiative, curiosité Connaissances en traitement de signal, R, C/C++ appréciées Anglais  BENEFITS    Tu hésites ? On te dit pourquoi il faut nous rejoindre : Nos équipes sont jeunes, dynamiques et travaillent avec passion Nous avons gardé notre esprit start-up et aimons célébrer ensemble chacune de nos réussites ! L’agilité et la réactivité sont nos maitres mots Tu deviendras beta testeur et tu contribueras directement au développement et à l’amélioration continue de nos produits Nous sommes des mordus de sport et t’accueillerons avec plaisir dans nos différentes teams Nous sommes bien situés (ligne 12 Porte de Versailles ou Corentin Celton) et tu pourras déjeuner (italien, asiatique, fast-food etc) mais aussi bouger (parcs, complexes sportifs) selon tes envies !Niveau hiérarchiquePremier emploiType d’emploiTemps pleinFonctionIngénieriePrestataire de soins de santéSecteursSanté, forme et bien-être",NA,https://fr.linkedin.com/jobs/view/data-scientist-at-withings-1782585158?refId=c9844cb8-62f5-4042-b982-0f11df22e803&position=3&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,NA,NA
Data Scientist,Paris,"SociétéActeur mondial de l'énergie, le client a créé en 2016 une entité engagée dans la transformation digitale.Le client compte 200 salariés et a pour ambition de devenir le leader mondial de la transformation digitale de l'énergie.Son activité : accompagner ses clients dans la mise en place d'infrastructures informatiques et de communication de pointe pour faire face aux avancées technologiques d'aujourd'hui.Et vous ? Souhaitez-vous contribuer à cette avancée technologique.Nous recherchons un Data Scientist pour une période de 6 mois minimum afin de participer à un projet de déploiement & d'industrialisation.PosteL'équipe Data du groupe a pour objectif de réaliser les études data science de bout en bout, c'est-à-dire de la phase exploratoire jusqu'à leur industrialisation.Avec 10 autres experts Data, votre mission principale sera le développement des briques data science de produits digitaux orientés Data.Au Quotidien Vos Missions Seront Les Suivantes Mettre en place des études exploratoires sur les données mises à disposition Identifier les problématiques métiers et les traduire en problématiques Data Utiliser des techniques de machine learning afin de répondre aux problématiques identifiées Présenter les résultats et animer les ateliers métiers pour orienter les développements Industrialiser les modèles retenus Assurer le monitoring des modèles afin de gérer leur cycle de vie et les ré entrainer ou les faire évoluer lorsque la qualité baisse Réaliser une amélioration continue des modèles Animer des communautés autour de ces sujets Faire de la veille technologique.Environnement TechniqueR/Python/Docker/Azure/Scikit-learn/Numpy/Sql/NoSQLProfil recherché– Passion pour les méthodes Agile et les pratiques Lean/Agile– Vous justifiez d’au moins 3 ans d’expérience en tant que data Scientist avec une expérience significative en langage Python– Maitrise des librairies classiques de data science scikit-learn, numpy, pandas et des techniques de régressions, classification, clustering, deep learning, …– Niveau d’anglais bilingue (échanges quotidiens)– Capacité d’analyse, prise de reculCompléments Démarrage : ASAP Durée : > 6 mois Lieu : Paris - ST Lazard Télétravail : nonNiveau hiérarchiquePremier emploiType d’emploiTemps pleinFonctionIngénierieTechnologies de l’informationSecteursTechnologies et services de l’informationLogiciels informatiquesInternet",NA,https://fr.linkedin.com/jobs/view/data-scientist-at-silkhom-smart-recruitment-1782032988?refId=c9844cb8-62f5-4042-b982-0f11df22e803&position=4&pageNum=2&trk=public_jobs_job-result-card_result-card_full-click,NA,NA
